ID_order;Release_time(sec);Order_provenience;Order_dimension;;;
1001;1080;person;2
1002;1745;person;1
1003;3568;person;5
1004;4519;car;1
1005;5172;car;2
1006;5571;car;3
1007;6297;car;4
1008;8271;person;4
1009;8284;car;1
1010;8519;car;5
1011;8813;car;2
1012;9067;car;1
1013;11592;car;2
1014;11982;person;5
1015;12505;car;2
1016;13793;car;2
1017;14084;person;3
1018;14333;person;4
1019;14495;person;2
1020;15828;car;2
1021;16883;car;3
1022;17009;car;3
1023;17077;car;2
1024;18741;person;2
1025;19256;person;4
1026;19407;person;1
1027;19479;car;4
1028;20171;car;3
1029;21806;person;5
1030;21809;car;4
1031;22262;car;1
1032;23060;car;5
1033;23786;car;3
1034;24133;person;1
1035;24148;person;4
1036;24395;car;5
1037;25003;person;5
1038;25067;car;1
1039;25326;car;3
1040;25374;person;2
1041;25990;person;5
1042;26350;car;5
1043;26383;person;5
1044;26413;car;4
1045;26931;car;1
1046;27343;car;4
1047;27638;person;5
1048;27663;car;1
1049;27817;person;2
1050;28696;car;3
1051;28860;car;2
1052;29594;car;5
1053;29756;car;4
1054;30307;person;5
1055;31238;car;2
1056;32319;car;3
1057;32410;car;1
1058;32935;person;2
1059;33010;car;1
1060;33192;person;3
1061;33195;car;4
1062;33261;car;1
1063;33907;person;2
1064;33949;car;3
1065;34187;person;3
1066;34608;person;3
1067;35901;person;3
1068;35956;person;5
1069;36696;person;5
1070;37712;person;3
1071;37746;person;3
1072;37990;person;4
1073;38685;person;2
1074;38866;person;4
1075;39107;car;4
1076;39392;car;5
1077;39562;car;1
1078;39724;person;3
1079;39948;person;3
1080;40010;person;2
1081;40019;person;5
1082;40026;person;1
1083;40118;car;1
1084;40190;person;5
1085;40202;car;4
1086;40620;car;3
1087;40629;person;4
1088;40631;car;4
1089;40761;person;4
1090;40764;car;5
1091;40919;person;3
1092;41100;car;1
1093;41135;person;4
1094;41357;person;5
1095;41449;car;3
1096;41468;person;4
1097;41490;car;2
1098;41513;car;3
1099;41767;person;1
1100;42171;car;1
1101;42319;car;2
1102;43105;car;1
1103;43230;car;5
1104;43232;car;2
1105;43511;car;3
1106;43524;car;1
1107;43647;car;4
1108;43655;person;3
1109;43901;car;4
1110;43971;person;3
1111;44117;person;5
1112;44245;car;1
1113;44251;person;5
1114;44255;person;2
1115;44326;person;4
1116;44432;person;4
1117;44505;person;4
1118;44527;car;2
1119;44532;car;3
1120;44605;car;4
1121;44631;car;2
1122;44646;person;3
1123;44882;person;2
1124;45028;person;1
1125;45059;person;3
1126;45204;car;4
1127;45206;car;3
1128;45251;car;2
1129;45289;car;2
1130;45315;person;3
1131;45426;car;5
1132;45793;person;1
1133;45849;person;2
1134;45987;person;4
1135;46145;car;3
1136;46160;person;4
1137;46193;person;3
1138;46412;person;5
1139;46432;person;3
1140;46586;person;5
1141;46705;car;3
1142;46717;car;1
1143;46972;car;3
1144;47010;person;3
1145;47030;person;5
1146;47177;person;5
1147;47249;person;2
1148;47309;person;4
1149;47574;person;4
1150;48229;car;3
1151;48241;person;3
1152;48386;person;2
1153;48836;person;1
1154;48916;car;5
1155;49051;car;4
1156;49110;car;5
1157;49140;person;3
1158;49187;person;5
1159;49188;car;5
1160;49210;person;4
1161;49229;person;4
1162;49319;car;1
1163;49357;car;1
1164;49470;car;1
1165;49563;car;2
1166;49571;person;1
1167;49619;car;3
1168;49749;car;3
1169;49950;car;4
1170;49956;car;5
1171;49982;car;3
1172;50006;person;1
1173;50081;person;5
1174;50113;person;4
1175;50251;person;1
1176;50252;car;1
1177;50316;person;5
1178;50354;car;1
1179;50580;person;5
1180;50615;person;3
1181;50699;car;5
1182;50754;car;2
1183;50879;car;2
1184;50959;person;2
1185;51001;car;4
1186;51052;car;4
1187;51086;car;3
1188;51204;person;5
1189;51386;car;4
1190;51534;person;5
1191;51572;car;3
1192;51673;person;1
1193;51841;car;1
1194;51882;car;2
1195;51893;person;3
1196;51997;car;3
1197;52175;person;2
1198;52604;person;4
1199;52631;car;4
1200;52804;person;4
1201;53063;person;4
1202;53196;car;5
1203;53242;car;4
1204;53252;car;3
1205;53487;person;3
1206;53665;car;5
1207;53709;car;2
1208;53816;person;4
1209;53842;car;3
1210;54002;person;5
1211;54546;car;2
1212;54725;car;1
1213;54770;person;5
1214;54823;car;1
1215;54830;person;2
1216;55155;car;4
1217;55180;car;4
1218;55226;car;5
1219;55317;person;2
1220;55750;person;2
1221;56108;person;2
1222;56468;car;2
1223;56568;car;1
1224;56720;car;1
1225;56856;car;4
1226;56879;person;2
1227;57132;car;2
1228;57298;car;3
1229;57742;person;5
1230;57938;person;4
1231;58105;person;4
1232;58210;person;3
1233;58212;person;3
1234;58240;person;1
1235;58511;car;2
1236;58809;car;2
1237;58895;person;1
1238;59167;person;5
1239;59570;person;1
1240;59659;person;5
1241;60348;car;5
1242;60382;car;5
1243;60588;car;1
1244;60723;person;1
1245;61334;person;4
1246;61392;car;5
1247;61407;person;1
1248;61456;person;2
1249;61561;car;2
1250;61593;person;4
1251;61638;person;1
1252;61807;car;4
1253;61862;person;4
1254;61881;person;4
1255;61883;car;4
1256;62061;car;4
1257;62080;person;1
1258;62087;person;1
1259;62099;person;1
1260;62261;person;5
1261;62312;person;4
1262;62614;person;5
1263;62707;car;3
1264;62735;car;4
1265;62779;person;1
1266;62840;car;2
1267;62852;car;3
1268;62945;person;2
1269;62999;car;4
1270;63195;person;4
1271;63259;person;2
1272;63263;person;5
1273;63271;person;4
1274;63392;person;4
1275;63417;car;5
1276;63470;car;5
1277;63481;person;4
1278;63540;car;5
1279;63757;car;5
1280;63794;car;2
1281;63952;person;3
1282;63954;car;2
1283;64080;car;3
1284;64092;person;5
1285;64203;car;1
1286;64221;car;2
1287;64492;car;2
1288;64528;person;5
1289;64706;person;3
1290;64745;person;4
1291;64803;car;5
1292;64969;person;1
1293;65096;car;2
1294;65152;car;1
1295;65180;person;3
1296;65271;car;3
1297;65325;car;2
1298;65417;car;3
1299;65929;person;2
1300;65960;person;5
1301;66010;car;1
1302;66022;car;4
1303;66076;car;4
1304;66096;person;4
1305;66126;car;2
1306;66147;car;1
1307;66259;car;2
1308;66341;car;4
1309;66370;car;5
1310;66462;car;2
1311;66585;person;2
1312;66650;person;5
1313;66657;car;3
1314;66726;car;4
1315;66801;person;5
1316;67282;person;3
1317;67447;person;5
1318;67568;person;3
1319;67600;person;4
1320;67723;person;4
1321;67749;person;5
1322;67772;car;2
1323;67786;car;3
1324;67887;person;3
1325;67911;person;3
1326;67966;car;3
1327;68018;person;2
1328;68347;person;5
1329;68451;car;3
1330;68489;car;3
1331;68718;car;5
1332;68743;person;4
